p_value,significant,observed_band_fraction,surrogate_mean_fraction,ar1_coefficient,enrichment,threshold_rule_flag
0.575,False,0.4209304455461122,0.4402846472405139,0.08617377075441936,1.0823926,False
0.925,False,0.2768027595763005,0.4795226299943458,0.24916290777040598,0.7117785,False
0.875,False,0.35927318508590056,0.5044443421146878,0.4273762989196114,0.92384535,False
1.0,False,0.19168428241187652,0.4977635237983446,0.48261190424627237,0.49290243,False
0.675,False,0.40065599770256577,0.48209442391031576,0.39596419471192007,1.0302583,False
0.35,False,0.4109380289307143,0.37060371257843,-0.12514733970157507,1.0566978,False
0.275,False,0.47911317680265847,0.3796679456249938,-0.046796211215064006,1.2320054,False
0.05,False,0.6622145617194551,0.493510299684424,0.2783854110625136,1.7028375,False
0.275,False,0.47337899692658125,0.41616095238241574,0.03563061139734215,1.2172602,False
0.125,False,0.5179253989116132,0.40199933665079113,0.043339040996869777,1.3318082,False
0.85,False,0.3434218982755893,0.5100032775798667,0.43330613443369725,0.8830849,False
0.525,False,0.437767246874743,0.413349214737966,0.056692353250696964,1.1256872,False
0.95,False,0.32110949525457205,0.49590900643718344,0.4920086249036114,0.8257101,False
0.2,False,0.5152588669992483,0.40430430965465874,0.06134168084073268,1.3249514,False
0.275,False,0.5277064323243531,0.4618877192763811,0.3154234261596453,1.3569593,False
0.25,False,0.4922480270966289,0.3864295694561059,-0.04033099047895589,1.2657807,False
0.125,False,0.598852703575617,0.44824960311478723,0.18467465827897994,1.539907,False
0.075,False,0.7100244578672973,0.5049181075752556,0.21672763660336014,1.8257772,False
0.725,False,0.3664496417849383,0.436280971028035,0.07250334768552436,0.94229907,False
0.175,False,0.4542054747061375,0.33684427484773527,-0.12507507193130613,1.167957,False
0.025,True,0.7615287703384775,0.4802051661060111,0.3026000594963982,1.9582168,False
0.925,False,0.30291305793259476,0.5070782448504656,0.29235203850666375,0.7789193,False
0.1,False,0.5900048947916401,0.45334687419891206,0.14109723615367656,1.5171554,False
0.125,False,0.6344055311524585,0.45295420356867583,0.1957718203063931,1.6313285,False
1.0,False,0.33425903767141074,0.5365813915528141,0.3951779561460831,0.85952324,False
0.675,False,0.3258491576600625,0.3567379242389994,-0.15423535088095391,0.83789784,False
1.0,False,0.18779164159907907,0.4585141141348939,0.24008861255009975,0.48289278,False
0.475,False,0.5201021095826245,0.4935404807983109,0.3632254438991413,1.3374054,False
0.825,False,0.3913380983060095,0.4999666083463143,0.3871586981364882,1.006298,False
1.0,False,0.11260904079137111,0.5073203237769753,0.5752870442686194,0.2895661,False
0.175,False,0.5388773491997911,0.4232348831294623,0.07301107979153336,1.3856846,False
0.675,False,0.43609088480516645,0.47861391960714617,0.19095194495868423,1.1213765,False
0.025,True,0.6217407884708749,0.38639498395871347,0.06214943527416557,1.598762,False
0.9,False,0.3059291847623541,0.4826341959727202,0.14401852982761545,0.78667504,False
0.475,False,0.47222086075962755,0.4383381762455056,0.10389873827823368,1.2142822,False
0.025,True,0.677755509320898,0.4413194376220241,0.24774226258752302,1.7427999,False
0.275,False,0.4629730023899934,0.39592377218010566,-0.01889226260304145,1.190502,False
0.825,False,0.352485221844176,0.46960626482416473,0.25286675921672147,0.90639055,False
0.025,True,0.7331083754975727,0.4940098127194938,0.2816521104727105,1.8851358,False
0.075,False,0.6031165489456081,0.45629940118275175,0.12710591191570456,1.5508711,False
0.775,False,0.2734250312573619,0.3342407321034969,-0.03256281510033164,0.70309293,False
0.4,False,0.43101922190362196,0.38254890569771965,-0.027698968081393556,1.1083351,False
0.025,True,0.6295209093350536,0.4008329806884144,0.06351833478477657,1.6187681,False
0.85,False,0.3942269323801439,0.532694365895754,0.4938671774279325,1.0137264,False
0.425,False,0.4348506068278955,0.387294611730652,-0.008614072702506925,1.1181873,False
0.275,False,0.5370231501948884,0.4584764819603768,0.17595948564684902,1.3809167,False
0.225,False,0.5574104705349675,0.4382705370381903,0.040628237323590694,1.4333413,False
0.25,False,0.6143441113708461,0.5036400818689244,0.5365130818607532,1.579742,False
0.95,False,0.2558218511662726,0.46701374855190164,0.25581443171329704,0.6578276,False
0.075,False,0.6149565616215085,0.47878260774380565,0.1960498831608146,1.5813168,False
0.675,False,0.3971114512601538,0.4473512440179949,0.13256224304528266,1.0211437,False
0.85,False,0.28482533507465463,0.4742826923164441,0.5469569749762807,0.732408,False
0.35,False,0.39138344860242136,0.33252462275387923,-0.1406888417643536,1.0064145,False
0.85,False,0.31307735194639874,0.454704066511479,0.22526446397730768,0.80505604,False
0.8,False,0.44993246373499524,0.5317587976083699,0.5153339785679747,1.1569692,False
0.925,False,0.30271806395850676,0.4962565018452788,0.6169609694776998,0.7784179,False
0.4,False,0.39047870894716585,0.37503391910365974,-0.02106358939423598,1.0040882,False
0.4,False,0.4702550349576984,0.4411043118500828,0.15949292933363685,1.2092272,False
0.925,False,0.24766561696068384,0.45643700400680526,0.17381046525358526,0.63685447,False
0.7,False,0.4073791766573896,0.4632528206197667,0.14628545123979148,1.0475465,False
0.675,False,0.23312827938144287,0.3128084048896833,-0.15769907547750017,0.5994727,False
0.125,False,0.5553631286140839,0.4194426118942049,0.13410033540288063,1.4280766,False
1.0,False,0.16862171547615712,0.553855785651668,0.4915459604869133,0.4335987,False
1.0,False,0.21927640727548503,0.4525324866424894,0.27165415040500523,0.5638536,False
1.0,False,0.24631262233194676,0.4828708529870733,0.6235770115684883,0.6333753,False
0.2,False,0.5922704108942689,0.4667550240409874,0.15167995344476135,1.522981,False
0.975,False,0.2375082618902315,0.5005960141251097,0.5599715549796197,0.61073554,False
0.85,False,0.351724236176845,0.48881149947906094,0.31952898554884734,0.9044337,False
0.125,False,0.5603979785603873,0.3951620425193897,0.09756644522240454,1.4410233,False
0.7,False,0.4093372838464758,0.48341147942855867,0.25483389384440114,1.0525815,False
0.525,False,0.30578370730327714,0.3174254939232786,-0.20456626719024407,0.78630096,False
0.025,True,0.6253730608563084,0.4572137257650395,0.16052812170955025,1.6081022,False
0.075,False,0.6755885224059177,0.4642154863888649,0.2835056601604719,1.7372277,False
0.8,False,0.24067977285972944,0.31055876794984866,-0.13938330216001021,0.6188908,False
0.25,False,0.510061336428549,0.4271186026507729,0.07372186225769667,1.3115863,False
0.325,False,0.5302729629707085,0.46290441273965444,0.10555985069398871,1.363559,False
0.05,False,0.7860972451664235,0.5088541306469715,0.25730568164138923,2.0213928,True
0.4,False,0.4478308621867352,0.42450529956315564,-0.02340477641124949,1.1515651,False
0.05,False,0.640614266729878,0.4416392272192118,0.1550438119976013,1.6472938,False
0.2,False,0.48894575904472265,0.37724924152081224,-0.05504480264482764,1.257289,False
0.3,False,0.4069306867450471,0.3498878211391791,-0.09828271882307067,1.0463932,False
0.425,False,0.4222436679652349,0.40696094064312627,0.10079596870931648,1.0857694,False
0.5,False,0.49023794621183153,0.48729123257129414,0.2060373313110946,1.2606119,False
0.75,False,0.37168530647828196,0.44891932030839327,0.09769457850914558,0.9557622,False
0.8,False,0.3086371902672869,0.42143956961722906,0.0836449634735177,0.79363847,False
0.95,False,0.1650505934058701,0.4928791729127144,0.3776366445567475,0.4244158,False
0.975,False,0.19034584306809169,0.4503953974021285,0.7089765102242699,0.48946074,False
0.7,False,0.4346037596080418,0.5030360871140603,0.32761827697696205,1.1175525,False
0.35,False,0.3627656991497705,0.3277893097677279,-0.13266839024599075,0.9328261,False
0.225,False,0.4626810869804535,0.400378038989148,0.08954398145281957,1.1897514,False
0.225,False,0.5253786912889318,0.42882131966444575,0.15670088929443673,1.3509737,False
0.9,False,0.286702189106706,0.5102463243833391,0.47833227774646647,0.7372342,False
0.6,False,0.4272928966059604,0.4757829906883823,0.2830063274958667,1.0987532,False
0.375,False,0.5029480103396152,0.4533412720710219,0.1813722419047946,1.2932949,False
0.7,False,0.33395887562875365,0.4196970276128646,0.01049392846336622,0.8587514,False
0.25,False,0.38611290242323637,0.32518923284365875,-0.14454571864800939,0.99286175,False
0.975,False,0.17815008164970783,0.3313903531708831,-0.1461065057554691,0.4581002,False
0.125,False,0.5866308676380945,0.450317020101384,0.07801196000661116,1.5084794,False
0.2,False,0.5731108773445652,0.46515576866894587,0.1538765388017198,1.4737136,False
0.25,False,0.4391233438121741,0.3658946024143235,-0.07715030342094727,1.1291744,False
0.8,False,0.38367344680502624,0.4970417543629315,0.478147843858115,0.98658884,False
0.1,False,0.465204168179897,0.3464981231848405,-0.11643523136969447,1.1962392,False
0.025,True,0.7691976190123823,0.5019052470877456,0.1960729879623853,1.9779367,False
0.25,False,0.5610195056911967,0.4431244241724633,0.10590236721852227,1.4426216,False
0.25,False,0.5035702262805288,0.41793946160988527,0.039939564328004856,1.2948948,False
0.175,False,0.4123086526907809,0.30450828420053,-0.20693167538739207,1.0602223,False
0.025,True,0.6516815590137945,0.4481326854148553,0.16752857572867622,1.6757526,False
0.225,False,0.5356554436361108,0.44511344548024023,0.1898022559081407,1.3773997,False
0.05,False,0.6422309143314605,0.44332949205587924,0.16799456971455054,1.6514509,False
0.95,False,0.34199180294011805,0.5209744011600085,0.36131683456682784,0.87940747,False
0.525,False,0.3505648526681915,0.36438005252685446,-0.004681204576516919,0.9014525,False
0.825,False,0.3642627417313746,0.4902946213755996,0.3178656525553423,0.9366756,False
0.075,False,0.5272529246772937,0.39273101139298033,9.982693396379568e-05,1.3557932,False
0.075,False,0.6311248870245685,0.46957526737256045,0.21069090586196448,1.6228926,False
0.075,False,0.6892312161574546,0.5066034969490886,0.18560102730325273,1.7723088,False
0.2,False,0.47023514252178344,0.3355431017345703,-0.09498478706632835,1.2091761,False
0.3,False,0.41408646522886516,0.36597369352462944,-0.010262874593361159,1.0647938,False
0.375,False,0.5422436509147305,0.45669620484552026,0.265284318621158,1.3943409,False
0.35,False,0.5247919670219017,0.44465486389327924,0.13279784084113447,1.349465,False
0.1,False,0.6230084029768711,0.4647921972687264,0.15921206586711853,1.6020216,False
0.175,False,0.5447093801884046,0.42272443743169347,0.09445219391329422,1.4006813,False
0.1,False,0.6590433491926985,0.4447238466334733,0.25572177256369827,1.694683,False
0.2,False,0.5065513986967244,0.3818259151397779,-0.009340801578302835,1.3025607,False
0.025,True,0.8644496190352351,0.49897889237265336,0.3252607970188954,2.2228703,True
0.125,False,0.6751547349002477,0.5201491235318679,0.28440134628062336,1.7361121,False
0.1,False,0.5820285664197326,0.43284057210843596,0.15061238743842278,1.4966449,False
0.175,False,0.5733440814613496,0.4258827163233428,0.23118509801522358,1.4743134,False
0.05,False,0.6384885163750208,0.3836755338283345,-0.029777640157502977,1.6418276,False
0.125,False,0.6078688842549743,0.4441977038478351,0.20295911265753863,1.5630914,False
0.3,False,0.4788713156613662,0.40017708429826715,-0.03787511799588823,1.2313833,False
0.175,False,0.5669170921588971,0.4533368417529516,0.12762034534451408,1.4577868,False
0.25,False,0.46198571506388897,0.4010213924049195,-0.027895203450308645,1.1879632,False
0.125,False,0.5684339366275447,0.4433854188136405,0.17461821453464774,1.4616872,False
0.15,False,0.5694660235230555,0.45744142011315264,0.05852891822930617,1.4643412,False
0.025,True,0.7906579891581218,0.510330539921247,0.2512869901369703,2.0331206,True
0.2,False,0.50359839238913,0.3826994692542827,0.029443313451278798,1.2949673,False
0.15,False,0.5661945840037347,0.45020189101595637,0.12363402952448921,1.4559289,False
0.275,False,0.45130084794555614,0.39125675850916763,-0.033815353460317124,1.1604879,False
0.075,False,0.6100921665059995,0.44822390934595646,0.14814220469996214,1.5688084,False
0.4,False,0.5223413657419574,0.48557453201731077,0.15295996031515452,1.3431635,False
